Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
75	1000	26283	15486	14002	11636	11524	13561	14217	18293	26749	35769
75	10000	24704	9137	8705	3755	5145	5915	7634	13690	15662	32379
76	1	41531	42479	41980	42120	43719	40913	42335	40655	42845	41499
76	10	37768	38771	40751	40547	41609	38642	40774	39447	37963	40492
76	100	25828	25457	27763	27959	25835	26587	27069	31532	34881	38243
76	1000	23925	15776	12756	10198	12587	13561	13623	20869	26520	36126
76	10000	21792	9922	8339	4520	6294	7021	9452	13340	19619	33934
77	1	41274	42743	44505	42269	44743	43496	41715	41528	41790	42378
77	10	38126	39992	41095	40686	42833	40652	39740	39921	39293	41529
77	100	31000	28477	26021	25718	26676	25542	25858	32639	35135	37141
77	1000	24888	15717	13525	10203	13872	13450	15234	21309	27562	35395
77	10000	21158	10336	7992	4381	6582	6250	8841	13463	20290	31922
78	1	41103	44753	43382	33987	45585	43120	42198	42902	43171	42597
78	10	38977	40851	41195	31687	41861	40378	39503	40313	42101	41727
78	100	28041	28048	28042	24901	27127	26544	26024	29972	36430	38332
78	1000	24448	14404	14610	9929	11989	12956	15119	19525	25642	37051
78	10000	23435	9746	10153	4948	6485	6227	8379	12194	17097	33088
79	1	44055	42142	42539	39468	44342	44482	44707	44809	44281	40895
79	10	40465	38496	39228	34895	41709	38975	41099	37476	40436	38936
79	100	32467	27694	28729	21809	25989	25625	29397	30298	33649	37561
79	1000	28931	15920	13604	9522	13434	13473	15991	22416	25751	36111
79	10000	26577	10072	8327	3513	5890	6031	7392	12442	16326	32355
80	1	42664	44622	37602	43618	41757	42422	41021	41914	40417	44213
80	10	40373	41895	35759	41741	39349	41637	38866	39721	40417	38974
80	100	29246	28529	25898	28365	26742	27890	25871	29251	35130	38238
80	1000	24909	16554	15759	11294	13172	13483	15222	21693	22622	33982
80	10000	24526	9930	7330	4738	7401	7106	8438	14367	16351	32514
81	1	42003	40918	42442	41275	42736	43091	42517	42980	42791	43438
81	10	39750	36605	39961	38831	40369	40503	41611	41233	39968	41480
81	100	31586	28178	29517	25244	27161	27589	26626	29981	32068	38072
81	1000	26978	15441	14634	10014	13862	14057	15633	21058	24090	35968
81	10000	22166	11138	8832	4057	5552	6193	8362	13699	16926	33514
82	1	44523	42086	42980	40306	41918	43196	44318	41555	43439	42408
82	10	42190	38924	40368	38052	39688	41080	40359	39223	41202	40915
82	100	33579	27785	30696	25068	26673	26202	27933	32603	34495	39215
82	1000	29256	15912	14431	9662	12086	12198	14187	23884	24329	36034
82	10000	26201	9496	8177	5118	6534	7136	7950	13280	19932	33148
83	1	43311	43419	44130	43025	43916	42331	40658	42654	43421	43025
83	10	40090	40459	41922	40551	41205	39323	37864	40414	41124	42207
83	100	28903	27473	26734	26838	26204	26552	27834	33026	34589	39445
83	1000	23361	15876	13660	9539	12150	14472	15833	19794	24905	35688
83	10000	21254	9112	7976	4591	5971	6964	6999	11548	16933	33141
84	1	41959	42188	41065	41745	40460	42262	40745	43321	43788	42403
84	10	39453	40456	38652	39441	37393	40533	38275	42018	39954	38986
84	100	30576	26779	27836	27390	24136	27454	26995	31715	32671	37244
84	1000	26499	17259	15824	9754	11477	11798	14220	21986	26038	36893
84	10000	25585	9517	8457	4602	6552	6250	8819	13388	18953	32114
85	1	43906	45129	44167	42854	41866	43062	43406	43407	44037	43655
85	10	40708	40599	39879	39766	39094	40309	40425	38932	40928	40196
85	100	33837	27927	26755	26510	23859	23797	26892	34690	33244	38783
85	1000	27875	15732	14282	10831	12920	12464	14878	21824	24092	36008
85	10000	25920	9868	8845	4519	6501	6859	7806	12942	15803	34456
86	1	42262	41525	43059	42534	42623	42135	43227	41536	42892	40363
86	10	38492	39469	39712	40218	39176	37877	41327	39009	42131	40011
86	100	28735	28364	25826	26576	25017	26062	27311	32705	34531	37217
86	1000	24044	14931	15316	11281	12845	13299	16271	21461	27798	36684
86	10000	22457	8112	7856	4081	6222	6437	7907	13760	19003	32220
87	1	43228	40532	41010	43899	41806	41586	42024	42077	42823	42744
87	10	40956	38142	40499	42640	38053	37567	40245	39243	40872	40715
87	100	31778	25760	26627	26097	27008	25797	31419	27764	36597	39133
87	1000	28062	16498	12239	8692	11202	13082	15613	18373	25899	34772
87	10000	23994	10563	8517	3681	5537	6595	8334	11876	19071	33686
88	1	45069	40797	44874	41710	44017	42603	42181	43568	42249	41500
88	10	42173	38393	39838	39182	40372	39958	40117	39022	40372	41500
88	100	33484	27670	26146	26053	26672	24702	29976	31977	33074	37164
88	1000	28984	15715	13772	11595	12792	14581	17422	21219	25873	35510
88	10000	26144	9904	10226	4372	5744	6559	7875	12365	17192	33412
89	1	42390	41563	41796	41811	43461	41023	43372	42443	43594	41303
89	10	40646	39820	38500	39897	41544	39959	42098	36435	39915	41303
89	100	31154	25571	26751	23945	28700	26222	27442	28827	32245	39534
89	1000	24054	15931	15284	10596	12092	12261	14654	22086	24058	35769
89	10000	21829	9582	8941	3828	6148	6597	7729	13051	16782	33215
90	1	41518	41647	41972	41712	43472	43037	43404	42921	43072	43624
90	10	38797	40265	39467	40106	38841	40191	41087	39469	40770	41344
90	100	32258	27801	27269	24922	26138	25722	28931	31595	37091	38401
90	1000	27198	15548	14207	9875	14610	12950	16732	20702	26981	36260
90	10000	24869	9001	8251	4155	6086	6624	8319	14091	16292	33281
91	1	42737	43150	41539	42808	42008	42765	41019	43458	42012	42608
91	10	40664	39483	37853	40896	40476	39988	37684	41252	41095	40104
91	100	32793	26369	26132	26230	26514	25291	26431	32687	34014	38205
91	1000	30567	15304	15560	11534	13479	13685	15891	21709	26655	34288
